,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2022,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ENGINEERING,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AERO-201-200,14,11,1,0,0,26,3.5,0,0,0,0,0,26,LEYVA L
,53.85%,42.31%,3.85%,0.00%,0.00%,,,,,,,,,
AERO-201-501,11,20,6,1,1,39,3,0,0,0,1,0,40,LEYVA L
,28.21%,51.28%,15.38%,2.56%,2.56%,,,,,,,,,
AERO-201-502,17,16,3,0,0,36,3.388,0,0,0,0,0,36,LEYVA L
,47.22%,44.44%,8.33%,0.00%,0.00%,,,,,,,,,
AERO-201-503,10,15,3,3,0,31,3.032,0,0,0,2,0,33,WORSHAM B
,32.26%,48.39%,9.68%,9.68%,0.00%,,,,,,,,,
AERO-201-504,13,14,4,2,0,33,3.151,0,0,0,1,0,34,WORSHAM B
,39.39%,42.42%,12.12%,6.06%,0.00%,,,,,,,,,
AERO-201-505,13,11,4,2,0,30,3.166,0,0,0,3,0,33,WORSHAM B
,43.33%,36.67%,13.33%,6.67%,0.00%,,,,,,,,,
COURSE TOTAL:,78,87,21,8,1,195,3.194,0,0,0,7,0,202,
,40.00%,44.62%,10.77%,4.10%,0.51%,,,,,,,,,
AERO-211-200,33,1,0,0,0,34,3.97,0,0,0,0,0,34,MOBLE B
,97.06%,2.94%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-211-500,43,16,8,0,0,67,3.522,0,0,0,0,0,67,MOBLE B
,64.18%,23.88%,11.94%,0.00%,0.00%,,,,,,,,,
AERO-211-501,35,45,14,0,4,98,3.091,0,0,0,0,0,98,DEMARS K
,35.71%,45.92%,14.29%,0.00%,4.08%,,,,,,,,,
COURSE TOTAL:,111,62,22,0,4,199,3.386,0,0,0,0,0,199,
,55.78%,31.16%,11.06%,0.00%,2.01%,,,,,,,,,
AERO-212-200,8,2,0,0,0,10,3.8,0,0,0,1,0,11,BOYD J
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-212-500,25,38,8,0,1,72,3.194,1,0,0,11,0,84,BOYD J
,34.72%,52.78%,11.11%,0.00%,1.39%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2022,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ENGINEERING,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AERO-212-501,19,55,25,0,1,100,2.91,0,0,0,0,0,100,DOGARIU A
,19.00%,55.00%,25.00%,0.00%,1.00%,,,,,,,,,
AERO-212-502,8,19,10,0,0,37,2.945,0,0,0,2,0,39,DOGARIU A
,21.62%,51.35%,27.03%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,60,114,43,0,2,219,3.05,1,0,0,14,0,234,
,27.40%,52.05%,19.63%,0.00%,0.91%,,,,,,,,,
AERO-214-500,7,6,5,2,0,20,2.9,0,0,0,0,0,20,NARAGHI M
,35.00%,30.00%,25.00%,10.00%,0.00%,,,,,,,,,
AERO-214-501,7,5,5,2,0,19,2.894,0,0,0,0,0,19,NARAGHI M
,36.84%,26.32%,26.32%,10.53%,0.00%,,,,,,,,,
AERO-214-502,1,3,3,2,0,9,2.333,0,0,0,3,0,12,NARAGHI M
,11.11%,33.33%,33.33%,22.22%,0.00%,,,,,,,,,
COURSE TOTAL:,15,14,13,6,0,48,2.791,0,0,0,3,0,51,
,31.25%,29.17%,27.08%,12.50%,0.00%,,,,,,,,,
AERO-222-500,5,9,9,5,1,29,2.413,1,0,0,3,0,33,WHITCOMB J
,17.24%,31.03%,31.03%,17.24%,3.45%,,,,,,,,,
AERO-222-501,6,8,6,4,0,24,2.666,0,0,0,1,0,25,WHITCOMB J
,25.00%,33.33%,25.00%,16.67%,0.00%,,,,,,,,,
COURSE TOTAL:,11,17,15,9,1,53,2.528,1,0,0,4,0,58,
,20.75%,32.08%,28.30%,16.98%,1.89%,,,,,,,,,
AERO-301-200,6,3,0,0,0,9,3.666,0,0,0,0,0,9,TROPINA A
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-301-500,33,27,13,5,0,78,3.128,0,0,0,1,0,79,TROPINA A
,42.31%,34.62%,16.67%,6.41%,0.00%,,,,,,,,,
AERO-301-501,9,29,20,3,6,67,2.477,0,0,0,7,0,74,WHITE E
,13.43%,43.28%,29.85%,4.48%,8.96%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2022,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ENGINEERING,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,48,59,33,8,6,154,2.876,0,0,0,8,0,162,
,31.17%,38.31%,21.43%,5.19%,3.90%,,,,,,,,,
AERO-303-200,4,4,0,0,0,8,3.5,0,0,0,0,0,8,GROOT K
,50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-303-500,32,24,11,0,3,70,3.171,0,0,0,0,0,70,GROOT K
,45.71%,34.29%,15.71%,0.00%,4.29%,,,,,,,,,
AERO-303-501,4,16,2,2,1,25,2.8,0,0,0,1,0,26,GROOT K
,16.00%,64.00%,8.00%,8.00%,4.00%,,,,,,,,,
COURSE TOTAL:,40,44,13,2,4,103,3.106,0,0,0,1,0,104,
,38.83%,42.72%,12.62%,1.94%,3.88%,,,,,,,,,
AERO-304-200,2,6,2,0,0,10,3,0,0,0,0,0,10,BENZERGA A
,20.00%,60.00%,20.00%,0.00%,0.00%,,,,,,,,,
AERO-304-500,10,24,19,3,2,58,2.637,0,0,0,3,0,61,BENZERGA A
,17.24%,41.38%,32.76%,5.17%,3.45%,,,,,,,,,
AERO-304-501,23,45,17,4,0,89,2.977,0,0,0,10,0,99,TALREJA R
,25.84%,50.56%,19.10%,4.49%,0.00%,,,,,,,,,
COURSE TOTAL:,35,75,38,7,2,157,2.853,0,0,0,13,0,170,
,22.29%,47.77%,24.20%,4.46%,1.27%,,,,,,,,,
AERO-306-500,63,12,4,1,4,84,3.535,1,0,0,1,0,86,STROUBOULIS T
