,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2023,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ENGINEERING,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AERO-301-501,29,33,24,6,1,93,2.892,0,0,0,1,0,94,PECK M
,31.18%,35.48%,25.81%,6.45%,1.08%,,,,,,,,,
AERO-301-502,8,8,4,0,0,20,3.2,0,0,0,0,0,20,DONZIS D
,40.00%,40.00%,20.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,80,72,47,10,2,211,3.033,0,0,0,1,0,212,
,37.91%,34.12%,22.27%,4.74%,0.95%,,,,,,,,,
AERO-303-200,3,3,2,0,0,8,3.125,0,0,0,0,0,8,GROOT K
,37.50%,37.50%,25.00%,0.00%,0.00%,,,,,,,,,
AERO-303-500,16,38,15,4,3,76,2.789,0,0,0,0,0,76,GROOT K
,21.05%,50.00%,19.74%,5.26%,3.95%,,,,,,,,,
AERO-303-501,13,21,12,4,5,55,2.6,0,0,0,0,0,55,GROOT K
,23.64%,38.18%,21.82%,7.27%,9.09%,,,,,,,,,
COURSE TOTAL:,32,62,29,8,8,139,2.733,0,0,0,0,0,139,
,23.02%,44.60%,20.86%,5.76%,5.76%,,,,,,,,,
AERO-304-200,2,3,0,0,0,5,3.4,0,0,0,0,0,5,TALREJA R
,40.00%,60.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-304-500,14,24,15,0,4,57,2.771,0,0,0,2,0,59,TALREJA R
,24.56%,42.11%,26.32%,0.00%,7.02%,,,,,,,,,
COURSE TOTAL:,16,27,15,0,4,62,2.822,0,0,0,2,0,64,
,25.81%,43.55%,24.19%,0.00%,6.45%,,,,,,,,,
AERO-306-500,86,1,2,0,0,89,3.943,0,0,0,0,0,89,STROUBOULIS T
,96.63%,1.12%,2.25%,0.00%,0.00%,,,,,,,,,
AERO-306-501,10,15,15,4,2,46,2.586,1,0,0,9,0,56,WHITCOMB J
,21.74%,32.61%,32.61%,8.70%,4.35%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2023,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ENGINEERING,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,96,16,17,4,2,135,3.481,1,0,0,9,0,145,
,71.11%,11.85%,12.59%,2.96%,1.48%,,,,,,,,,
AERO-307-900,12,2,0,0,0,14,3.857,0,1,0,1,0,16,GUZMAN F
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-307-901,9,6,2,0,0,17,3.411,0,0,0,0,0,17,GUZMAN F
,52.94%,35.29%,11.76%,0.00%,0.00%,,,,,,,,,
AERO-307-902,18,1,0,0,0,19,3.947,0,0,0,2,0,21,GUZMAN F
,94.74%,5.26%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-307-903,15,4,2,0,0,21,3.619,0,0,0,0,0,21,GUZMAN F
,71.43%,19.05%,9.52%,0.00%,0.00%,,,,,,,,,
AERO-307-905,6,1,2,0,0,9,3.444,0,0,0,0,0,9,GUZMAN F
,66.67%,11.11%,22.22%,0.00%,0.00%,,,,,,,,,
AERO-307-906,15,0,1,0,0,16,3.875,2,0,0,0,0,18,GUZMAN F
,93.75%,0.00%,6.25%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,75,14,7,0,0,96,3.708,2,1,0,3,0,102,
,78.13%,14.58%,7.29%,0.00%,0.00%,,,,,,,,,
AERO-310-502,14,17,8,4,3,46,2.76,2,0,0,7,0,55,CHAKRAVORTY S
,30.43%,36.96%,17.39%,8.70%,6.52%,,,,,,,,,
COURSE TOTAL:,14,17,8,4,3,46,2.76,2,0,0,7,0,55,
,30.43%,36.96%,17.39%,8.70%,6.52%,,,,,,,,,
AERO-321-200,1,4,2,0,1,8,2.5,0,0,0,0,0,8,VADALI S
,12.50%,50.00%,25.00%,0.00%,12.50%,,,,,,,,,
AERO-321-500,8,23,31,10,1,73,2.369,0,0,0,7,1,81,VADALI S
,10.96%,31.51%,42.47%,13.70%,1.37%,,,,,,,,,
AERO-321-501,19,30,24,5,0,78,2.807,0,0,0,10,0,88,VADALI S
,24.36%,38.46%,30.77%,6.41%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2023,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ENGINEERING,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,28,57,57,15,2,159,2.591,0,0,0,17,1,177,
,17.61%,35.85%,35.85%,9.43%,1.26%,,,,,,,,,
AERO-351-500,9,25,37,5,0,76,2.5,1,0,0,23,0,100,CIZMAS P
,11.84%,32.89%,48.68%,6.58%,0.00%,,,,,,,,,
COURSE TOTAL:,9,25,37,5,0,76,2.5,1,0,0,23,0,100,
,11.84%,32.89%,48.68%,6.58%,0.00%,,,,,,,,,
AERO-401-930,40,2,0,0,0,42,3.952,0,0,0,0,0,42,SELVA VALERO D
,95.24%,4.76%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,40,2,0,0,0,42,3.952,0,0,0,0,0,42,
,95.24%,4.76%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-402-500,9,0,0,0,0,9,4,0,0,0,0,0,9,HARTL D
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-402-501,14,0,0,0,0,14,4,0,0,0,0,0,14,SELVA VALERO D
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-402-502,19,0,0,0,0,19,4,0,0,0,0,0,19,MOBLE B
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-402-503,28,0,0,0,0,28,4,0,0,0,0,0,28,GRINSTEAD J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-402-504,16,0,0,0,0,16,4,0,0,0,0,0,16,WHITTLE R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-402-505,33,1,0,0,0,34,3.97,0,0,0,0,0,34,VALASEK J
,97.06%,2.94%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-402-507,6,0,0,0,0,6,4,0,0,0,0,0,6,SHRYOCK K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2023,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ENGINEERING,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,125,1,0,0,0,126,3.992,0,0,0,0,0,126,
,99.21%,0.79%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-405-500,19,20,1,0,0,40,3.45,0,0,0,1,0,41,HARTL D
,47.50%,50.00%,2.50%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,20,1,0,0,40,3.45,0,0,0,1,0,41,
,47.50%,50.00%,2.50%,0.00%,0.00%,,,,,,,,,
AERO-413-500,18,34,23,4,0,79,2.835,0,0,0,2,0,81,NARAGHI M
,22.78%,43.04%,29.11%,5.06%,0.00%,,,,,,,,,
AERO-413-501,13,11,11,0,0,35,3.057,1,0,0,0,0,36,HERRINGTON J
,37.14%,31.43%,31.43%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,31,45,34,4,0,114,2.903,1,0,0,2,0,117,
,27.19%,39.47%,29.82%,3.51%,0.00%,,,,,,,,,
